chart_week,current_week,title,performer,spotify_link
2022-07-02,5,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-09,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-09,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-09,3,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-09,4,Wait For U,Future Featuring Drake & Tems,
2022-07-09,5,Jimmy Cooks,Drake Featuring 21 Savage,
2022-07-16,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-16,2,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-16,3,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-16,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-07-16,5,Wait For U,Future Featuring Drake & Tems,
2022-07-23,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-23,2,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-23,3,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-23,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-07-23,5,Wait For U,Future Featuring Drake & Tems,
2022-07-30,1,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-30,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-30,3,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-07-30,4,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-30,5,Wait For U,Future Featuring Drake & Tems,
2022-08-06,1,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-08-06,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-08-06,3,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
