chart_week,current_week,title,performer
1962-07-28,4,I Can't Stop Loving You,Ray Charles
1962-07-28,5,The Stripper,David Rose and His Orchestra
1962-08-04,1,Roses Are Red (My Love),Bobby Vinton
1962-08-04,2,Breaking Up Is Hard To Do,Neil Sedaka
1962-08-04,3,Sealed With A Kiss,Brian Hyland
1962-08-04,4,The Wah Watusi,The Orlons
1962-08-04,5,"Ahab, The Arab",Ray Stevens
1962-08-11,1,Breaking Up Is Hard To Do,Neil Sedaka
1962-08-11,2,Roses Are Red (My Love),Bobby Vinton
1962-08-11,3,The Wah Watusi,The Orlons
1962-08-11,4,The Loco-Motion,Little Eva
1962-08-11,5,"Ahab, The Arab",Ray Stevens
1962-08-18,1,Breaking Up Is Hard To Do,Neil Sedaka
1962-08-18,2,The Loco-Motion,Little Eva
1962-08-18,3,Roses Are Red (My Love),Bobby Vinton
1962-08-18,4,The Wah Watusi,The Orlons
1962-08-18,5,You Don't Know Me,Ray Charles
1962-08-25,1,The Loco-Motion,Little Eva
1962-08-25,2,Breaking Up Is Hard To Do,Neil Sedaka
1962-08-25,3,Things,Bobby Darin
1962-08-25,4,You Don't Know Me,Ray Charles
1962-08-25,5,Sheila,Tommy Roe
1962-09-01,1,Sheila,Tommy Roe
1962-09-01,2,The Loco-Motion,Little Eva
1962-09-01,3,Breaking Up Is Hard To Do,Neil Sedaka
1962-09-01,4,You Don't Know Me,Ray Charles
1962-09-01,5,Party Lights,Claudine Clark
1962-09-08,1,Sheila,Tommy Roe
1962-09-08,2,You Don't Know Me,Ray Charles
1962-09-08,3,The Loco-Motion,Little Eva
1962-09-08,4,Ramblin' Rose,Nat King Cole
1962-09-08,5,She's Not You,Elvis Presley With The Jordanaires
1962-09-15,1,Sherry,The 4 Seasons
1962-09-15,2,Sheila,Tommy Roe
1962-09-15,3,Ramblin' Rose,Nat King Cole
1962-09-15,4,The Loco-Motion,Little Eva
1962-09-15,5,Green Onions,Booker T. & The MG's
1962-09-22,1,Sherry,The 4 Seasons
1962-09-22,2,Ramblin' Rose,Nat King Cole
1962-09-22,3,Sheila,Tommy Roe
1962-09-22,4,Green Onions,Booker T. & The MG's
1962-09-22,5,Teen Age Idol,Rick Nelson
1962-09-29,1,Sherry,The 4 Seasons
1962-09-29,2,Ramblin' Rose,Nat King Cole
1962-09-29,3,Green Onions,Booker T. & The MG's
1962-09-29,4,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-09-29,5,Sheila,Tommy Roe
1962-10-06,1,Sherry,The 4 Seasons
1962-10-06,2,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-10-06,3,Ramblin' Rose,Nat King Cole
1962-10-06,4,Let's Dance,Chris Montez
1962-10-06,5,Green Onions,Booker T. & The MG's
1962-10-13,1,Sherry,The 4 Seasons
1962-10-13,2,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-10-13,3,Ramblin' Rose,Nat King Cole
1962-10-13,4,Let's Dance,Chris Montez
1962-10-13,5,I Remember You,Frank Ifield
1962-10-20,1,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-10-20,2,Sherry,The 4 Seasons
1962-10-20,3,Do You Love Me,The Contours
1962-10-20,4,He's A Rebel,The Crystals
1962-10-20,5,I Remember You,Frank Ifield
1962-10-27,1,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-10-27,2,He's A Rebel,The Crystals
1962-10-27,3,Do You Love Me,The Contours
1962-10-27,4,Only Love Can Break A Heart,Gene Pitney
1962-10-27,5,Sherry,The 4 Seasons
1962-11-03,1,He's A Rebel,The Crystals
1962-11-03,2,Only Love Can Break A Heart,Gene Pitney
1962-11-03,3,Do You Love Me,The Contours
1962-11-03,4,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
1962-11-03,5,All Alone Am I,Brenda Lee
1962-11-10,1,He's A Rebel,The Crystals
1962-11-10,2,Big Girls Don't Cry,The 4 Seasons
1962-11-10,3,All Alone Am I,Brenda Lee
1962-11-10,4,Return To Sender,Elvis Presley With The Jordanaires
1962-11-10,5,Only Love Can Break A Heart,Gene Pitney
1962-11-17,1,Big Girls Don't Cry,The 4 Seasons
1962-11-17,2,Return To Sender,Elvis Presley With The Jordanaires
1962-11-17,3,He's A Rebel,The Crystals
1962-11-17,4,All Alone Am I,Brenda Lee
1962-11-17,5,Next Door To An Angel,Neil Sedaka
1962-11-24,1,Big Girls Don't Cry,The 4 Seasons
1962-11-24,2,Return To Sender,Elvis Presley With The Jordanaires
1962-11-24,3,All Alone Am I,Brenda Lee
1962-11-24,4,Bobby's Girl,Marcie Blane
1962-11-24,5,Next Door To An Angel,Neil Sedaka
1962-12-01,1,Big Girls Don't Cry,The 4 Seasons
1962-12-01,2,Return To Sender,Elvis Presley With The Jordanaires
1962-12-01,3,Bobby's Girl,Marcie Blane
1962-12-01,4,Limbo Rock,Chubby Checker
1962-12-01,5,All Alone Am I,Brenda Lee
1962-12-08,1,Big Girls Don't Cry,The 4 Seasons
1962-12-08,2,Return To Sender,Elvis Presley With The Jordanaires
1962-12-08,3,Bobby's Girl,Marcie Blane
1962-12-08,4,Don't Hang Up,The Orlons
1962-12-08,5,Ride!,Dee Dee Sharp
1962-12-15,1,Big Girls Don't Cry,The 4 Seasons
1962-12-15,2,Return To Sender,Elvis Presley With The Jordanaires
1962-12-15,3,Bobby's Girl,Marcie Blane
1962-12-15,4,Limbo Rock,Chubby Checker
1962-12-15,5,Telstar,The Tornadoes
1962-12-22,1,Telstar,The Tornadoes
1962-12-22,2,Limbo Rock,Chubby Checker
1962-12-22,3,Return To Sender,Elvis Presley With The Jordanaires
1962-12-22,4,Bobby's Girl,Marcie Blane
1962-12-22,5,Big Girls Don't Cry,The 4 Seasons
1962-12-29,1,Telstar,The Tornadoes
1962-12-29,2,Limbo Rock,Chubby Checker
1962-12-29,3,Bobby's Girl,Marcie Blane
1962-12-29,4,Go Away Little Girl,Steve Lawrence
1962-12-29,5,Big Girls Don't Cry,The 4 Seasons
1963-01-05,1,Telstar,The Tornadoes
1963-01-05,2,Go Away Little Girl,Steve Lawrence
1963-01-05,3,Limbo Rock,Chubby Checker
1963-01-05,4,Bobby's Girl,Marcie Blane
1963-01-05,5,Big Girls Don't Cry,The 4 Seasons
1963-01-12,1,Go Away Little Girl,Steve Lawrence
1963-01-12,2,Telstar,The Tornadoes
1963-01-12,3,Limbo Rock,Chubby Checker
1963-01-12,4,Hotel Happiness,Brook Benton
1963-01-12,5,Pepino The Italian Mouse,Lou Monte
1963-01-19,1,Go Away Little Girl,Steve Lawrence
1963-01-19,2,Telstar,The Tornadoes
1963-01-19,3,Hotel Happiness,Brook Benton
1963-01-19,4,Tell Him,The Exciters
1963-01-19,5,The Night Has A Thousand Eyes,Bobby Vee
1963-01-26,1,Walk Right In,The Rooftop Singers
1963-01-26,2,Hey Paula,Paul and Paula
1963-01-26,3,Go Away Little Girl,Steve Lawrence
1963-01-26,4,Tell Him,The Exciters
1963-01-26,5,The Night Has A Thousand Eyes,Bobby Vee
1963-02-02,1,Walk Right In,The Rooftop Singers
1963-02-02,2,Hey Paula,Paul and Paula
1963-02-02,3,The Night Has A Thousand Eyes,Bobby Vee
1963-02-02,4,Go Away Little Girl,Steve Lawrence
1963-02-02,5,Loop De Loop,Johnny Thunder
1963-02-09,1,Hey Paula,Paul and Paula
1963-02-09,2,Walk Right In,The Rooftop Singers
1963-02-09,3,The Night Has A Thousand Eyes,Bobby Vee
1963-02-09,4,Loop De Loop,Johnny Thunder
1963-02-09,5,Up On The Roof,The Drifters
1963-02-16,1,Hey Paula,Paul and Paula
1963-02-16,2,Walk Right In,The Rooftop Singers
1963-02-16,3,Walk Like A Man,The 4 Seasons
1963-02-16,4,Ruby Baby,Dion
1963-02-16,5,Rhythm Of The Rain,The Cascades
1963-02-23,1,Hey Paula,Paul and Paula
1963-02-23,2,Ruby Baby,Dion
1963-02-23,3,Walk Like A Man,The 4 Seasons
1963-02-23,4,Walk Right In,The Rooftop Singers
1963-02-23,5,Rhythm Of The Rain,The Cascades
1963-03-02,1,Walk Like A Man,The 4 Seasons
1963-03-02,2,Ruby Baby,Dion
1963-03-02,3,Hey Paula,Paul and Paula
1963-03-02,4,Rhythm Of The Rain,The Cascades
1963-03-02,5,Walk Right In,The Rooftop Singers
1963-03-09,1,Walk Like A Man,The 4 Seasons
1963-03-09,2,Ruby Baby,Dion
1963-03-09,3,Rhythm Of The Rain,The Cascades
1963-03-09,4,Hey Paula,Paul and Paula
1963-03-09,5,You're The Reason I'm Living,Bobby Darin
1963-03-16,1,Walk Like A Man,The 4 Seasons
1963-03-16,2,Our Day Will Come,Ruby And The Romantics
1963-03-16,3,You're The Reason I'm Living,Bobby Darin
1963-03-16,4,The End Of The World,Skeeter Davis
1963-03-16,5,Rhythm Of The Rain,The Cascades
1963-03-23,1,Our Day Will Come,Ruby And The Romantics
1963-03-23,2,The End Of The World,Skeeter Davis
1963-03-23,3,You're The Reason I'm Living,Bobby Darin
1963-03-23,4,He's So Fine,The Chiffons
1963-03-23,5,Walk Like A Man,The 4 Seasons
1963-03-30,1,He's So Fine,The Chiffons
1963-03-30,2,Our Day Will Come,Ruby And The Romantics
1963-03-30,3,The End Of The World,Skeeter Davis
1963-03-30,4,South Street,The Orlons
1963-03-30,5,You're The Reason I'm Living,Bobby Darin
1963-04-06,1,He's So Fine,The Chiffons
1963-04-06,2,Our Day Will Come,Ruby And The Romantics
1963-04-06,3,The End Of The World,Skeeter Davis
1963-04-06,4,South Street,The Orlons
1963-04-06,5,Can't Get Used To Losing You,Andy Williams
1963-04-13,1,He's So Fine,The Chiffons
1963-04-13,2,Can't Get Used To Losing You,Andy Williams
1963-04-13,3,South Street,The Orlons
1963-04-13,4,The End Of The World,Skeeter Davis
1963-04-13,5,Baby Workout,Jackie Wilson
1963-04-20,1,He's So Fine,The Chiffons
1963-04-20,2,Can't Get Used To Losing You,Andy Williams
1963-04-20,3,I Will Follow Him,Little Peggy March
1963-04-20,4,Puff (The Magic Dragon),"Peter, Paul & Mary"
1963-04-20,5,Baby Workout,Jackie Wilson
1963-04-27,1,I Will Follow Him,Little Peggy March
1963-04-27,2,Can't Get Used To Losing You,Andy Williams
1963-04-27,3,He's So Fine,The Chiffons
1963-04-27,4,Puff (The Magic Dragon),"Peter, Paul & Mary"
1963-04-27,5,Baby Workout,Jackie Wilson
1963-05-04,1,I Will Follow Him,Little Peggy March
1963-05-04,2,Can't Get Used To Losing You,Andy Williams
1963-05-04,3,Puff (The Magic Dragon),"Peter, Paul & Mary"
1963-05-04,4,Pipeline,Chantay's
1963-05-04,5,He's So Fine,The Chiffons
1963-05-11,1,I Will Follow Him,Little Peggy March
1963-05-11,2,Puff (The Magic Dragon),"Peter, Paul & Mary"
1963-05-11,3,If You Wanna Be Happy,Jimmy Soul
1963-05-11,4,Pipeline,Chantay's
1963-05-11,5,Can't Get Used To Losing You,Andy Williams
1963-05-18,1,If You Wanna Be Happy,Jimmy Soul
1963-05-18,2,I Will Follow Him,Little Peggy March
1963-05-18,3,Puff (The Magic Dragon),"Peter, Paul & Mary"
1963-05-18,4,Surfin' U.S.A.,The Beach Boys
1963-05-18,5,Foolish Little Girl,The Shirelles
1963-05-25,1,If You Wanna Be Happy,Jimmy Soul
1963-05-25,2,I Will Follow Him,Little Peggy March
1963-05-25,3,Surfin' U.S.A.,The Beach Boys
1963-05-25,4,Foolish Little Girl,The Shirelles
1963-05-25,5,I Love You Because,Al Martino
1963-06-01,1,It's My Party,Lesley Gore
1963-06-01,2,If You Wanna Be Happy,Jimmy Soul
1963-06-01,3,I Love You Because,Al Martino
1963-06-01,4,Surfin' U.S.A.,The Beach Boys
1963-06-01,5,Da Doo Ron Ron (When He Walked Me Home),The Crystals
1963-06-08,1,It's My Party,Lesley Gore
1963-06-08,2,Sukiyaki,Kyu Sakamoto
1963-06-08,3,Da Doo Ron Ron (When He Walked Me Home),The Crystals
1963-06-08,4,I Love You Because,Al Martino
1963-06-08,5,You Can't Sit Down,The Dovells
1963-06-15,1,Sukiyaki,Kyu Sakamoto
1963-06-15,2,It's My Party,Lesley Gore
1963-06-15,3,You Can't Sit Down,The Dovells
1963-06-15,4,Da Doo Ron Ron (When He Walked Me Home),The Crystals
1963-06-15,5,I Love You Because,Al Martino
1963-06-22,1,Sukiyaki,Kyu Sakamoto
1963-06-22,2,It's My Party,Lesley Gore
1963-06-22,3,Hello Stranger,Barbara Lewis
1963-06-22,4,You Can't Sit Down,The Dovells
1963-06-22,5,Blue On Blue,Bobby Vinton
1963-06-29,1,Sukiyaki,Kyu Sakamoto
1963-06-29,2,It's My Party,Lesley Gore
1963-06-29,3,Hello Stranger,Barbara Lewis
1963-06-29,4,Blue On Blue,Bobby Vinton
1963-06-29,5,Easier Said Than Done,The Essex
1963-07-06,1,Easier Said Than Done,The Essex
1963-07-06,2,Sukiyaki,Kyu Sakamoto
1963-07-06,3,Blue On Blue,Bobby Vinton
1963-07-06,4,Hello Stranger,Barbara Lewis
1963-07-06,5,It's My Party,Lesley Gore
1963-07-13,1,Easier Said Than Done,The Essex
1963-07-13,2,Surf City,Jan & Dean
